插件ID,主机地址,协议类型,服务端口,漏洞名称,漏洞简介,威胁等级,漏洞描述,整改建议
55786,172.16.1.53,tcp,1521,Oracle 数据库不受支持,远程主机正在运行不受支持的数据库服务器版本。,紧急,"根据其版本，远程主机上安装的 Oracle 数据库不再受支持。

缺少支持意味着供应商将不再发布该产品的任何新安全修补程序。因此，它可能包含某些安全漏洞。",请升级到当前支持的 Oracle 数据库版本。
150154,172.16.1.54,tcp,8081,nginx 0.6.x < 1.20.1 1-Byte Memory Overwrite RCE,远程 Web 服务器受到远程代码执行漏洞的影响。,紧急,"根据其服务器响应标头，安装的 nginx 版本为低于 1.20.1 的 0.6.18。因此，该操作系统受到远程代码执行漏洞的影响。在 nginx 解析器中发现一个安全性问题，未经身份验证的远程攻击者可利用此问题，使用特别构建的 DNS 响应造成 1 字节内存覆盖，从而导致工作线程进程崩溃，或可能导致执行任意代码。

请注意，Nessus 尚未测试此问题，而是只依靠应用程序自我报告的版本号来判断。",升级到 nginx 1.20.1 或更高版本。
20007,172.16.1.53,tcp,1158,SSL 版本 2 和 3 协议检测,远程服务使用包含已知漏洞的协议来加密流量。,高,"远程服务接受使用 SSL 2.0 和/或 SSL 3.0 加密的连接。这些 SSL 版本受到多个加密缺陷的影响，包括：

  - 采用 CBC 加密方式的不安全填充方案

  - 不安全的会话重新协商和恢复方案。

攻击者可利用这些缺陷实施中间人攻击，或者对受影响的服务和客户端之间的通信进行解密。

尽管 SSL/TLS 拥有用于选择协议最高支持版本的安全方法（以便仅在客户端或服务器没有更优版本可以支持的情况下使用这些版本），但许多 Web 浏览器仍然以不安全的方式实现此操作，进而导致攻击者将连接降级（例如 POODLE）因此，建议完全禁用这些协议。

NIST 已确定 SSL 3.0 不再适用于安全通信。自 PCI DSS v3.1 中的强制执行之日起，SSL 的任何版本将不再符合 PCI SSC 的“强加密”定义。","查阅应用程序的文档以禁用 SSL 2.0 和 3.0。
改用 TLS 1.2（以及经过批准的密码套件）或更高版本。"
20007,172.16.1.53,tcp,3938,SSL 版本 2 和 3 协议检测,远程服务使用包含已知漏洞的协议来加密流量。,高,"远程服务接受使用 SSL 2.0 和/或 SSL 3.0 加密的连接。这些 SSL 版本受到多个加密缺陷的影响，包括：

  - 采用 CBC 加密方式的不安全填充方案

  - 不安全的会话重新协商和恢复方案。

攻击者可利用这些缺陷实施中间人攻击，或者对受影响的服务和客户端之间的通信进行解密。

尽管 SSL/TLS 拥有用于选择协议最高支持版本的安全方法（以便仅在客户端或服务器没有更优版本可以支持的情况下使用这些版本），但许多 Web 浏览器仍然以不安全的方式实现此操作，进而导致攻击者将连接降级（例如 POODLE）因此，建议完全禁用这些协议。

NIST 已确定 SSL 3.0 不再适用于安全通信。自 PCI DSS v3.1 中的强制执行之日起，SSL 的任何版本将不再符合 PCI SSC 的“强加密”定义。","查阅应用程序的文档以禁用 SSL 2.0 和 3.0。
改用 TLS 1.2（以及经过批准的密码套件）或更高版本。"
35291,172.16.1.53,tcp,3389,使用弱哈希算法签名的 SSL 证书,证书链中的 SSL 证书使用弱哈希算法进行签名。,高,"远程服务使用通过密码弱哈希算法（例如 MD2、MD4、MD5 或 SHA1）签名的 SSL 证书链。已知这些签名算法容易遭受碰撞攻击。攻击者可利用此漏洞生成具有相同数字签名的其他证书，从而允许攻击者伪装成受影响的服务。

请注意，该插件将把 2017 年 1 月 1 日之后过期的所有 SHA-1 签名 SSL 证书链报告为漏洞。这符合 Google 逐渐汰换 SHA-1 加密哈希算法的做法。

请注意，已忽略 Nessus CA 数据库 (known_CA.inc) 包含的链中的证书。",联系证书颁发机构，请其重新颁发证书。
42873,172.16.1.53,tcp,1158,支持 SSL 中等强度密码组 (SWEET32),远程服务支持使用中等强度 SSL 密码。,高,"远程主机支持使用提供中等强度加密的 SSL 密码。Nessus 将中等强度视为密钥长度为 64 至 112 位的任何加密，或使用 3DES 加密套件的加密。

请注意，如果攻击者位于同一物理网络，其将非常容易避开中等强度加密。",如果可能，请重新配置受影响的应用程序以避免使用中等强度密码。
42873,172.16.1.53,tcp,3389,支持 SSL 中等强度密码组 (SWEET32),远程服务支持使用中等强度 SSL 密码。,高,"远程主机支持使用提供中等强度加密的 SSL 密码。Nessus 将中等强度视为密钥长度为 64 至 112 位的任何加密，或使用 3DES 加密套件的加密。

请注意，如果攻击者位于同一物理网络，其将非常容易避开中等强度加密。",如果可能，请重新配置受影响的应用程序以避免使用中等强度密码。
42873,172.16.1.53,tcp,3938,支持 SSL 中等强度密码组 (SWEET32),远程服务支持使用中等强度 SSL 密码。,高,"远程主机支持使用提供中等强度加密的 SSL 密码。Nessus 将中等强度视为密钥长度为 64 至 112 位的任何加密，或使用 3DES 加密套件的加密。

请注意，如果攻击者位于同一物理网络，其将非常容易避开中等强度加密。",如果可能，请重新配置受影响的应用程序以避免使用中等强度密码。
69552,172.16.1.53,tcp,1521,Oracle TNS 远程监听器中毒,可以通过远程 Oracle TNS 监听器注册。,高,"远程 Oracle TNS 监听器允许从远程主机进行服务注册。攻击者能利用这个问题从一个需要权限的数据库服务器或客户将数据转移至攻击者指定的系统。

利用成功将导致攻击者操作数据库实例，可能在需要权限的数据库服务器上造成中间人攻击、会话劫持及拒绝服务攻击。",应用 Oracle 的报告里的应急措施。
42873,172.16.1.54,tcp,3389,支持 SSL 中等强度密码组 (SWEET32),远程服务支持使用中等强度 SSL 密码。,高,"远程主机支持使用提供中等强度加密的 SSL 密码。Nessus 将中等强度视为密钥长度为 64 至 112 位的任何加密，或使用 3DES 加密套件的加密。

请注意，如果攻击者位于同一物理网络，其将非常容易避开中等强度加密。",如果可能，请重新配置受影响的应用程序以避免使用中等强度密码。
